seat_id,available_seats,no_of_seats,price,seat_class,id
114,100,100,4285,Economy,57
115,40,40,6580,Business,58
116,100,100,4290,Economy,58
117,40,40,6590,Business,59
118,100,100,4295,Economy,59
119,40,40,6600,Business,60
120,100,100,4300,Economy,60
121,40,40,6610,Business,61
122,100,100,4305,Economy,61
123,40,40,6620,Business,62
124,100,100,4310,Economy,62
125,40,40,6630,Business,63
126,100,100,4315,Economy,63
127,40,40,6640,Business,64
128,100,100,4320,Economy,64
129,40,40,6650,Business,65
130,100,100,4325,Economy,65
131,40,40,6660,Business,66
132,100,100,4330,Economy,66
133,40,40,6670,Business,67
134,100,100,4335,Economy,67
135,40,40,6680,Business,68
136,100,100,4340,Economy,68
137,40,40,6690,Business,69
138,100,100,4345,Economy,69
139,40,40,6700,Business,70
140,100,100,4350,Economy,70
141,40,40,6710,Business,71
142,100,100,4355,Economy,71
143,40,40,6720,Business,72
144,100,100,4360,Economy,72
145,40,40,6730,Business,73
146,100,100,4365,Economy,73
147,40,40,6740,Business,74
148,100,100,4370,Economy,74
149,40,40,6750,Business,75
150,100,100,4375,Economy,75
151,40,40,6760,Business,76
152,100,100,4380,Economy,76
153,40,40,6770,Business,77
154,100,100,4385,Economy,77
155,40,40,6780,Business,78
156,100,100,4390,Economy,78
157,40,40,6790,Business,79
158,100,100,4395,Economy,79
159,40,40,6800,Business,80
160,100,100,4400,Economy,80
161,40,40,6810,Business,81
162,100,100,4405,Economy,81
163,40,40,6820,Business,82
164,100,100,4410,Economy,82
165,40,40,6830,Business,83
166,100,100,4415,Economy,83
167,40,40,6840,Business,84
168,100,100,4420,Economy,84
169,40,40,6850,Business,85
170,100,100,4425,Economy,85
171,40,40,6860,Business,86
172,100,100,4430,Economy,86
173,40,40,6870,Business,87
174,100,100,4435,Economy,87
175,40,40,6880,Business,88
176,100,100,4440,Economy,88
177,40,40,6890,Business,89
178,100,100,4445,Economy,89
179,40,40,6900,Business,90
180,100,100,4450,Economy,90
181,40,40,6910,Business,91
182,100,100,4455,Economy,91
183,40,40,6920,Business,92
184,100,100,4460,Economy,92
185,40,40,6930,Business,93
186,100,100,4465,Economy,93
187,40,40,6940,Business,94
188,100,100,4470,Economy,94
189,40,40,6950,Business,95
190,100,100,4475,Economy,95
191,40,40,6960,Business,96
192,100,100,4480,Economy,96
193,40,40,6970,Business,97
194,100,100,4485,Economy,97
195,40,40,6980,Business,98
196,100,100,4490,Economy,98
197,40,40,6990,Business,99
198,100,100,4495,Economy,99
199,40,40,7000,Business,100
200,100,100,4500,Economy,100
201,40,40,7010,Business,101
202,100,100,4505,Economy,101
203,40,40,7020,Business,102
204,100,100,4510,Economy,102
205,40,40,7030,Business,103
206,100,100,4515,Economy,103
207,40,40,7040,Business,104
208,100,100,4520,Economy,104
209,40,40,7050,Business,105
210,100,100,4525,Economy,105
211,40,40,7060,Business,106
212,100,100,4530,Economy,106
213,40,40,7070,Business,107
214,100,100,4535,Economy,107
215,40,40,7080,Business,108
216,100,100,4540,Economy,108
217,40,40,7090,Business,109
218,100,100,4545,Economy,109
219,40,40,7100,Business,110
220,100,100,4550,Economy,110
221,40,40,7110,Business,111
222,100,100,4555,Economy,111
223,40,40,7120,Business,112
224,100,100,4560,Economy,112
225,40,40,7130,Business,113
226,100,100,4565,Economy,113
227,40,40,7140,Business,114
228,100,100,4570,Economy,114
229,40,40,7150,Business,115
230,100,100,4575,Economy,115
231,40,40,7160,Business,116
232,100,100,4580,Economy,116
233,40,40,7170,Business,117
234,100,100,4585,Economy,117
235,40,40,7180,Business,118
236,100,100,4590,Economy,118
237,40,40,7190,Business,119
238,100,100,4595,Economy,119
239,40,40,7200,Business,120
240,100,100,4600,Economy,120
241,40,40,7210,Business,121
242,100,100,4605,Economy,121
243,40,40,7220,Business,122
244,100,100,4610,Economy,122
245,40,40,7230,Business,123
246,100,100,4615,Economy,123
247,40,40,7240,Business,124
248,100,100,4620,Economy,124
249,40,40,7250,Business,125
250,100,100,4625,Economy,125
251,40,40,7260,Business,126
252,100,100,4630,Economy,126
253,40,40,7270,Business,127
254,100,100,4635,Economy,127
255,40,40,7280,Business,128
256,100,100,4640,Economy,128
257,40,40,7290,Business,129
258,100,100,4645,Economy,129
259,40,40,7300,Business,130
260,100,100,4650,Economy,130
261,40,40,7310,Business,131
262,100,100,4655,Economy,131
263,40,40,7320,Business,132
264,100,100,4660,Economy,132
265,40,40,7330,Business,133
266,100,100,4665,Economy,133
267,40,40,7340,Business,134
268,100,100,4670,Economy,134
269,40,40,7350,Business,135
270,100,100,4675,Economy,135
271,40,40,7360,Business,136
272,100,100,4680,Economy,136
273,40,40,7370,Business,137
274,100,100,4685,Economy,137
275,40,40,7380,Business,138
276,100,100,4690,Economy,138
277,40,40,7390,Business,139
278,100,100,4695,Economy,139
279,40,40,7400,Business,140
280,100,100,4700,Economy,140
281,40,40,7410,Business,141
282,100,100,4705,Economy,141
283,40,40,7420,Business,142
284,100,100,4710,Economy,142
285,40,40,7430,Business,143
286,100,100,4715,Economy,143
287,40,40,7440,Business,144
288,100,100,4720,Economy,144
289,40,40,7450,Business,145
290,100,100,4725,Economy,145
291,40,40,7460,Business,146
292,100,100,4730,Economy,146
293,40,40,7470,Business,147
294,100,100,4735,Economy,147
295,40,40,7480,Business,148
296,100,100,4740,Economy,148
297,40,40,7490,Business,149
298,100,100,4745,Economy,149
299,40,40,7500,Business,150
300,100,100,4750,Economy,150
301,40,40,7510,Business,151
302,100,100,4755,Economy,151
303,40,40,7520,Business,152
304,100,100,4760,Economy,152
305,40,40,7530,Business,153
306,100,100,4765,Economy,153
307,40,40,7540,Business,154
308,100,100,4770,Economy,154
309,40,40,7550,Business,155
310,100,100,4775,Economy,155
311,40,40,7560,Business,156
312,100,100,4780,Economy,156
313,40,40,7570,Business,157
314,100,100,4785,Economy,157
315,40,40,7580,Business,158
316,100,100,4790,Economy,158
317,40,40,7590,Business,159
318,100,100,4795,Economy,159
319,40,40,7600,Business,160
320,100,100,4800,Economy,160
321,40,40,7610,Business,161
322,100,100,4805,Economy,161
323,40,40,7620,Business,162
324,100,100,4810,Economy,162
325,40,40,7630,Business,163
326,100,100,4815,Economy,163
327,40,40,7640,Business,164
328,100,100,4820,Economy,164
329,40,40,7650,Business,165
330,100,100,4825,Economy,165
331,40,40,7660,Business,166
332,100,100,4830,Economy,166
333,40,40,7670,Business,167
334,100,100,4835,Economy,167
335,40,40,7680,Business,168
336,100,100,4840,Economy,168
